program,method,offset,target,label
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,7072,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVE.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,92,m68k/cpu/DisassembledInstruction.<init>:(IILjava/lang/String;Lm68k/cpu/DisassembledOperand;Lm68k/cpu/DisassembledOperand;)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/matrix/DoubleMatrix.row:(I)Lcoho/common/matrix/Matrix;,2,coho/common/matrix/DoubleMatrix.row:(I)Lcoho/common/matrix/DoubleMatrix;,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/JSONObject.<init>:(Ljava/lang/Object;Z)V,1,com/sohu/t/api/sdk/json/JSONObject.<init>:()V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/number/DoubleInterval.checkValid:(D)V,37,coho/common/number/InvalidIntervalException.<init>:(Ljava/lang/String;)V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,6396,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParser.NCName:()Ljava/lang/String;,321,xx/XPathParser.jj_consume_token:(I)Lxx/Token;,
urle514e161fe_pericodiaz89_NextGen_tgz-pJ8-lib_json_TestJ8,lib/json/JSONTokener.nextString:(C)Ljava/lang/String;,241,lib/json/JSONTokener.syntaxError:(Ljava/lang/String;)Llib/json/JSONException;,
url89cafed56a_AlexDiru_esper_compiler_final_tgz-pJ8-compiler_ProgramJ8,compiler/EsperParser.statement:()Lcompiler/EsperParser$statement_return;,639,compiler/EsperParser$print_return.getTree:()Ljava/lang/Object;,
url89cafed56a_AlexDiru_esper_compiler_final_tgz-pJ8-compiler_ProgramJ8,compiler/EsperParser.ifthenelse:()Lcompiler/EsperParser$ifthenelse_return;,265,compiler/EsperParser$else__return.getTree:()Ljava/lang/Object;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ORI.ori_long:(I)I,76,m68k/cpu/CpuCore$DataRegisterOperand.isRegisterMode:()Z,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CLR.clr_word:(I)I,82,m68k/cpu/CpuCore$AddressRegisterIndirectOperand.getTiming:()I,
url47ebb27197_asirbu_CorrectiveEvolution_tgz-pJ8-eu_fbk_soa_evolution_engine_impl_test_ProblemToSMVFuncTestJ8,eu/fbk/soa/evolution/engine/impl/ProcessModelToSTS.transformXorJoin:(Leu/fbk/soa/process/node/XorJoin;Leu/fbk/soa/evolution/sts/State;Leu/fbk/soa/process/ProcessModel;)V,44,eu/fbk/soa/process/DefaultProcessModel.outgoingEdgesOf:(Leu/fbk/soa/process/node/ProcessNode;)Ljava/util/Set;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROXL.roxl_byte_imm:(I)I,114,m68k/cpu/CpuCore.setDataRegisterByte:(II)V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,13416,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8,com/github/nkzawa/thread/EventThread.exec:(Ljava/lang/Runnable;)V,7,com/github/nkzawa/engineio/client/transports/WebSocket$1$2.run:()V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,10140,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestDetailRawLineV20Vo.parseLine:(Ljava/lang/String;)I,810,com/usps/evs/vo/ManifestDetailRawLineVo.getPicCode:()Ljava/lang/String;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUB.sub_word_dn_dest:(I)I,24,m68k/cpu/CpuCore$AbsoluteLongOperand.getWordSigned:()I,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/PicCodeParserManifestV20.parse:(Ljava/lang/Object;Ljava/lang/Object;)V,1485,com/usps/evs/vo/ManifestDetailRawLineVo.getPicCode:()Ljava/lang/String;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,11973,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url47e6aca666_pocorall_automaton_tgz-pJ8-net_pocorall_automaton_DatatypesJ8,net/pocorall/automaton/BasicOperations.repeat:(Lnet/pocorall/automaton/DefaultAutomaton;II)Lnet/pocorall/automaton/DefaultAutomaton;,34,net/pocorall/automaton/DefaultAutomaton.clone:()Lnet/pocorall/automaton/DefaultAutomaton;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,1236,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUB.sub_word_ea_dest:(I)I,57,m68k/cpu/CpuCore$PCWithDisplacementOperand.setWord:(I)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/LSL.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,220,m68k/cpu/DisassembledOperand.<init>:(Ljava/lang/String;)V,
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.getWhitespaceRules:()[[Ljava/lang/String;,0,fri/patterns/interpreter/parsergenerator/lexer/StandardLexerRules.getSpaceRules:()[[Ljava/lang/String;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BTST.btst_static_long:(I)I,41,m68k/cpu/CpuCore$AddressRegisterWithIndexOperand.getLong:()I,
url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,mi/regex/RefRegex.match:(Lmi/stream/ICharStream;Lmi/regex/Match;)Z,73,mi/stream/StringStream.peek:()C,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADD.add_byte_ea_dest:(I)I,57,m68k/cpu/CpuCore$DataRegisterOperand.setByte:(I)V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,948,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADDQ.addq_long:(I)I,92,m68k/cpu/CpuCore$AddressRegisterPreDecOperand.isRegisterMode:()Z,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/LEA$1.execute:(I)I,5,m68k/cpu/instructions/LEA.lea:(I)I,
url55e48746be_isostorm_RPGame_tgz-pJ8-rpg_MainJ8,rpg/item/Container.removeDirectItem:(Lrpg/item/Item;)V,41,rpg/item/ItemImplementation.setParent:(Lrpg/item/Parent;)V,
url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8,com/sdicons/scripty/parser/Parser.parseList:(Lcom/sdicons/scripty/parser/IParserInput;)Ljava/lang/Object;,177,com/sdicons/scripty/parser/Token.getValue:()Ljava/lang/String;,
url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8,com/google/gsoncode/internal/$Gson$Types$WildcardTypeImpl.<init>:([Ljava/lang/reflect/Type;[Ljava/lang/reflect/Type;)V,15,com/google/gsoncode/internal/$Gson$Preconditions.checkArgument:(Z)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADDI.addi_word:(I)I,50,m68k/cpu/CpuCore$AddressRegisterOperand.setWord:(I)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROR.ror_word_mem:(I)I,78,m68k/cpu/CpuCore$PCWithIndexOperand.getTiming:()I,
url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,mi/regex/DotRegex.print:(I)V,10,mi/regex/DotRegex.print:(I)V,
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/representation/BitboardPosition.getMoves:(Ljava/util/List;)V,2,es/dagaren/gladiator/representation/BitboardPosition.generarMovements:(Ljava/util/List;)V,
