program,method,offset,target,label
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVEM.disassembleOp:(IILm68k/cpu/Size;Z)Lm68k/cpu/DisassembledInstruction;,159,m68k/cpu/DisassembledInstruction.<init>:(IILjava/lang/String;Lm68k/cpu/DisassembledOperand;Lm68k/cpu/DisassembledOperand;)V,
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/lexer/LexerImpl.getNextToken:(Lfri/patterns/interpreter/parsergenerator/lexer/LexerSemantic;Ljava/util/Map;)Lfri/patterns/interpreter/parsergenerator/Token;,210,fri/patterns/interpreter/parsergenerator/lexer/Input.getScanOffset:()I,
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/engine/DataBaseEngine$DataBase.findTable:(Ljava/lang/String;)Lru/spbau/tinydb/table/Table;,41,ru/spbau/tinydb/common/DBException.<init>:(Ljava/lang/String;)V,
url47e6aca666_pocorall_automaton_tgz-pJ8-net_pocorall_automaton_DatatypesJ8,net/pocorall/automaton/MinimizationOperations.minimizeHuffman:(Lnet/pocorall/automaton/LinkedAutomaton;)V,1,net/pocorall/automaton/BasicOperations.determinize:(Lnet/pocorall/automaton/LinkedAutomaton;)V,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestDetailRawLineV20Vo.parseLine:(Ljava/lang/String;)I,2897,com/usps/evs/vo/ManifestDetailRawLineVo.setNonIncidentalEnclosurePostage:(Ljava/lang/String;)V,
url78d0cbe382_TeeAaTeeUu_SitsiPlaseeraus_tgz-pJ8-sitsiplaseeraus_MainJ8,Lataaja/TiedostonKasittelija.sitsaaja:(Ljava/lang/String;)Lsitsiplaseeraus/Sitsaaja;,5,omatTietorakenteet/Hakemisto.get:(Ljava/lang/Object;)Ljava/lang/Object;,
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/btree/IndexNode.<init>:(ILru/spbau/tinydb/bufferManager/BufferManager;Lru/spbau/tinydb/btree/Split;)V,3,ru/spbau/tinydb/btree/Node.<init>:(ILru/spbau/tinydb/bufferManager/BufferManager;)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/matrix/DoubleIntervalMatrix.sub:(Lcoho/common/matrix/DoubleIntervalMatrix;)Lcoho/common/matrix/DoubleIntervalMatrix;,2,coho/common/matrix/BasicMatrix.sub:(Lcoho/common/matrix/BasicMatrix;)Lcoho/common/matrix/BasicMatrix;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUB.sub_word_ea_dest:(I)I,57,m68k/cpu/CpuCore$AddressRegisterIndirectOperand.setWord:(I)V,
url9d04094941_petermikitsh_PizzaDeliverySystem_tgz-pJ8-testdrivers_ManagerReportTestDriverJ8,managerreport/ManagerReportController.handleDisplayingManagerReport:(Ljava/lang/String;Lmanagerreport/ManagerReportView$ManagerReportInputChannel;)V,37,managerreport/ManagerReportController.gotoDisplayingManagerReport:()V,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa3_0:(JJJJ)I,327,xx/XPathParserTokenManager.jjStartNfaWithStates_0:(III)I,
urlce7759b8da_Palachsuper_EBA4_tgz-pJ8-json_TestJ8,json/JSONWriter.append:(Ljava/lang/String;)Ljson/JSONWriter;,74,json/JSONException.<init>:(Ljava/lang/Throwable;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/TAS.tas:(I)I,80,m68k/cpu/CpuCore.setFlags:(I)V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,6539,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBQ.subq_word:(I)I,48,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getWordSigned:()I,
url89cafed56a_AlexDiru_esper_compiler_final_tgz-pJ8-compiler_ProgramJ8,compiler/EsperParser.forgap:()Lcompiler/EsperParser$forgap_return;,229,compiler/EsperParser$factor_return.getTree:()Ljava/lang/Object;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,18031,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/OR.or_byte_ea_dest:(I)I,41,m68k/cpu/CpuCore$AddressRegisterWithDisplacementOperand.getByteSigned:()I,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestDetailRawLineV20Vo.parseLine:(Ljava/lang/String;)I,321,com/usps/evs/vo/ManifestDetailRawLineV15Vo.setStc:(Ljava/lang/String;)V,
urla05239b71c_viniciusinnovatium_mumps2java_api_tgz-pJ8-com_disclinc_netmanager_script_test_ExecTesteNewJ8,br/com/innovatium/mumps2java/dataaccess/DAO.createTable:(Ljava/lang/String;)Z,97,br/com/innovatium/mumps2java/dataaccess/DAO.closeResouce:(Ljava/sql/PreparedStatement;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADDQ.addq_word:(I)I,39,m68k/cpu/CpuCore.resolveDstEA:(IILm68k/cpu/Size;)Lm68k/cpu/Operand;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BCHG.bchg_static_long:(I)I,95,m68k/cpu/CpuCore$DataRegisterOperand.setLong:(I)V,
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/btree/IndexNode.insert:(II)Lru/spbau/tinydb/btree/Split;,136,ru/spbau/tinydb/btree/Split.<init>:(III)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ROXL$4.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,9,m68k/cpu/instructions/ROXL.disassembleOp:(IILm68k/cpu/Size;)Lm68k/cpu/DisassembledInstruction;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVE_USP.move_from_usp:(I)I,16,m68k/cpu/CpuCore.raiseSRException:()V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CMPA.cmpa_long:(I)I,77,m68k/cpu/CpuCore$AbsoluteLongOperand.getTiming:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/Monitor.handleDisassemble:([Ljava/lang/String;)V,195,m68k/cpu/instructions/AND$2.disassemble:(II)Lm68k/cpu/DisassembledInstruction;,
url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8,edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.getWithInsertion:()Ledu/columbia/stat/wood/pub/sequencememoizer/util/IntRestaurant;,384,edu/columbia/stat/wood/pub/sequencememoizer/util/DoubleStack.push:(D)V,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestHeaderRawLineVoV20.parseLine:(Ljava/lang/String;)Lcom/usps/evs/vo/ManifestHeader;,639,com/usps/evs/vo/ManifestHeaderRawLineVoV20.getFilteredValue:()Ljava/lang/String;,
url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8,DeviceGraphics/BinGraphics.<init>:(Lagent/data/Bin;ILDeviceGraphics/PartGraphics;)V,92,Utils/Location.<init>:(DD)V,
url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8,com/sdicons/scripty/parser/Parser.parseExpression:(Lcom/sdicons/scripty/parser/IParserInput;)Ljava/lang/Object;,212,com/sdicons/scripty/parser/Token.getType:()Lcom/sdicons/scripty/parser/Token$TokenType;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,18200,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa18_0:(JJ)I,128,xx/XPathParserTokenManager.jjMoveStringLiteralDfa19_0:(JJ)I,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/dnssec/DNSSECClient.verifySecureEntryPoint:(Lde/measite/minidns/Question;Lde/measite/minidns/Record;)Ljava/util/Set;,368,de/measite/minidns/dnssec/DNSSECMessage.getUnverifiedReasons:()Ljava/util/Set;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/MC68000.execute:()I,26,m68k/cpu/instructions/SUBQ$3.execute:(I)I,
urlfcb11f5f67_Orchaldir_FantasyWorldSimulation_tgz-pJ8-fws_worldeditor_WorldEditorJ8,fws/worldeditor/WorldEditor.run:()V,20,fws/worldeditor/WorldEditor.processKeyboard:()V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/number/IntervalType.promoteOp:(Lcoho/common/number/IntervalNumber;Lcoho/common/number/IntervalNumber;Lcoho/common/number/CohoNumber$ArithOp;)Lcoho/common/number/IntervalNumber;,276,coho/common/number/LongInterval.max:(Lcoho/common/number/LongInterval;)Lcoho/common/number/LongInterval;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/DIVU.divu:(I)I,248,m68k/cpu/CpuCore$ImmediateOperand.getTiming:()I,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,6344,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,900,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
