program,method,offset,target,label
url354ce1a2d1_dagaren_gladiator_chess_tgz-pJ8-es_dagaren_gladiator_main_MainJ8,es/dagaren/gladiator/engine/Engine.doMove:(Les/dagaren/gladiator/representation/Movement;Z)V,22,es/dagaren/gladiator/communication/xboard/EngineAdapter.onIncorrectMove:(Les/dagaren/gladiator/representation/Movement;)V,
url89cafed56a_AlexDiru_esper_compiler_final_tgz-pJ8-compiler_ProgramJ8,compiler/EsperCGenerator.generateNode:(Lcompiler/ParseTree;I)Ljava/lang/String;,2489,compiler/EsperCGenerator.generateNode:(Lcompiler/ParseTree;I)Ljava/lang/String;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/DoubleCohoMatrix.negate:()Lcoho/lp/solver/BasicCohoMatrix;,1,coho/lp/solver/DoubleCohoMatrix.negate:()Lcoho/lp/solver/DoubleCohoMatrix;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/matrix/DoubleIntervalMatrix.div:(Lcoho/common/number/DoubleInterval;)Lcoho/common/matrix/DoubleIntervalMatrix;,5,coho/common/matrix/DoubleIntervalMatrix.typeCast:(Lcoho/common/matrix/BasicMatrix;)Lcoho/common/matrix/DoubleIntervalMatrix;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,17303,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestDetailRawLineV20Vo.parseLine:(Ljava/lang/String;)I,2623,com/usps/evs/vo/ManifestDetailRawLineV15Vo.setManifestedSurchargeType:(Ljava/lang/String;)V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,2064,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url89cafed56a_AlexDiru_esper_compiler_final_tgz-pJ8-compiler_ProgramJ8,compiler/EsperLexer.mTokens:()V,225,compiler/EsperLexer.mNEGATIVEINFINITY:()V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/MC68000.execute:()I,26,m68k/cpu/instructions/SUBA$1.execute:(I)I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/CpuCore$StatusRegisterOperand.getByteSigned:()I,8,m68k/cpu/CpuCore.signExtendByte:(I)I,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,14248,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/Line.maxError:()D,49,coho/common/number/CohoBoolean.doubleValue:()D,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/matrix/BasicMatrix.elementConvert:(Lcoho/common/number/CohoNumber;)Lcoho/common/number/CohoNumber;,5,coho/common/number/IntegerInterval.convert:(Lcoho/common/number/CohoNumber;)Lcoho/common/number/CohoNumber;,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/PicCodeParserManifestV20.parse:(Ljava/lang/Object;Ljava/lang/Object;)V,1004,com/usps/evs/vo/ManifestDetailRawLineVo.getPicCode:()Ljava/lang/String;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/SUBQ.subq_long:(I)I,43,m68k/cpu/CpuCore$AddressRegisterIndirectOperand.getLong:()I,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/recursive/RecursiveDNSClient.resolveIpRecursive:(Lde/measite/minidns/recursive/RecursionState;Lde/measite/minidns/DNSName;)Lde/measite/minidns/recursive/RecursiveDNSClient$IpResultSet;,185,de/measite/minidns/Question.<init>:(Lde/measite/minidns/DNSName;Lde/measite/minidns/Record$TYPE;)V,
