NPE_INV,Hand.draw(LDeck;Ljava/util/List;)LHand;,java.lang.Integer.intValue()I
NPE_GET,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,Lcom/google/common/collect/RegularImmutableList.size I
NPE_GET,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,Lcom/google/common/collect/RegularImmutableList.array [Ljava/lang/Object
NPE_INV,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,java.lang.Object.equals(Ljava/lang/Object;)Z
NPE_INV,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,java.util.List.iterator()Ljava/util/Iterator;
NPE_INV,com.google.common.collect.RegularImmutableList.equals(Ljava/lang/Object;)Z,java.lang.Object.equals(Ljava/lang/Object;)Z
NPE_INV,com.google.common.collect.EmptyImmutableList.equals(Ljava/lang/Object;)Z,java.util.List.isEmpty()Z
NPE_GET,com.google.common.collect.Count.equals(Ljava/lang/Object;)Z,Lcom/google/common/collect/Count.value I
NPE_INV,com.google.common.collect.Multisets$AbstractEntry.hashCode()I,java.lang.Object.hashCode()I
NPE_INV,com.google.common.collect.Multisets$AbstractEntry.equals(Ljava/lang/Object;)Z,com.google.common.collect.Multiset$Entry.getCount()I
NPE_INV,com.google.common.collect.Multisets$AbstractEntry.equals(Ljava/lang/Object;)Z,com.google.common.collect.Multiset$Entry.getElement()Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMultiset.hashCode()I,java.lang.Object.hashCode()I
NPE_INV,com.google.common.base.Objects.equal(Ljava/lang/Object;Ljava/lang/Object;)Z,java.lang.Object.equals(Ljava/lang/Object;)Z
NPE_INV,com.google.common.collect.Multisets.equalsImpl(Lcom/google/common/collect/Multiset;Ljava/lang/Object;)Z,com.google.common.collect.Multiset.size()I
NPE_INV,com.google.common.collect.Multisets.equalsImpl(Lcom/google/common/collect/Multiset;Ljava/lang/Object;)Z,java.util.Set.size()I
NPE_INV,com.google.common.collect.Multisets.equalsImpl(Lcom/google/common/collect/Multiset;Ljava/lang/Object;)Z,com.google.common.collect.Multiset.entrySet()Ljava/util/Set;
NPE_INV,com.google.common.collect.Multisets.equalsImpl(Lcom/google/common/collect/Multiset;Ljava/lang/Object;)Z,java.util.Set.size()I
NPE_INV,com.google.common.collect.Multisets.equalsImpl(Lcom/google/common/collect/Multiset;Ljava/lang/Object;)Z,com.google.common.collect.Multiset.entrySet()Ljava/util/Set;
NPE_INV,com.google.common.collect.Multisets.equalsImpl(Lcom/google/common/collect/Multiset;Ljava/lang/Object;)Z,java.util.Set.iterator()Ljava/util/Iterator;
Done
