NPE_GET,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.addressOfClass(Ljava/lang/Class;)J,Lcom/zeroturnaround/rebellabs/oceanofmemories/common/util/JvmUtil$ClassInfo.classAddress J
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.getJRockitSpecifics(I)Lcom/zeroturnaround/rebellabs/oceanofmemories/common/util/JvmUtil$VMOptions;,org.apache.log4j.Logger.error(Ljava/lang/Object;Ljava/lang/Throwable;)V
NPE_INV,com.ibm.wala.model.java.lang.reflect.Array.get(Ljava/lang/Object;I)Ljava/lang/Object;,java.lang.Object.getClass()Ljava/lang/Class;
NPE_INV,org.apache.log4j.helpers.Loader.getTCL()Ljava/lang/ClassLoader;,java.lang.reflect.Method.invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,org.apache.log4j.helpers.OptionConverter.toBoolean(Ljava/lang/String;Z)Z,java.lang.String.trim()Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.OptionConverter.instantiateByClassName(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/Object;,java.lang.Class.isAssignableFrom(Ljava/lang/Class;)Z
NPE_INV,org.apache.log4j.helpers.OptionConverter.instantiateByClassName(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/Object;,java.lang.Class.getName()Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.OptionConverter.instantiateByClassName(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/Object;,java.lang.Class.getName()Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.OptionConverter.instantiateByClassName(Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/Object;,java.lang.Class.getClassLoader()Ljava/lang/ClassLoader;
NPE_INV,org.apache.log4j.PropertyConfigurator.doConfigure(Ljava/net/URL;Lorg/apache/log4j/spi/LoggerRepository;)V,java.net.URL.openConnection()Ljava/net/URLConnection;
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.guessAlignment(I)I,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,com.zeroturnaround.rebellabs.oceanofmemories.common.util.JvmUtil.guessAlignment(I)I,java.lang.Integer.intValue()I
NPE_INV,org.apache.log4j.helpers.OptionConverter.toLevel(Ljava/lang/String;Lorg/apache/log4j/Level;)Lorg/apache/log4j/Level;,java.lang.String.trim()Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.OptionConverter.toLevel(Ljava/lang/String;Lorg/apache/log4j/Level;)Lorg/apache/log4j/Level;,java.lang.reflect.Method.invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCatsAndRenderers(Ljava/util/Properties;Lorg/apache/log4j/spi/LoggerRepository;)V,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,org.apache.log4j.helpers.OptionConverter.substVars(Ljava/lang/String;Ljava/util/Properties;)Ljava/lang/String;,java.lang.String.indexOf(Ljava/lang/String;I)I
NPE_INV,org.apache.log4j.helpers.OptionConverter.substVars(Ljava/lang/String;Ljava/util/Properties;)Ljava/lang/String;,java.lang.String.length()I
NPE_INV,org.apache.log4j.helpers.OptionConverter.substVars(Ljava/lang/String;Ljava/util/Properties;)Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.OptionConverter.substVars(Ljava/lang/String;Ljava/util/Properties;)Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.helpers.OptionConverter.substVars(Ljava/lang/String;Ljava/util/Properties;)Ljava/lang/String;,java.lang.String.indexOf(II)I
NPE_INV,org.apache.log4j.helpers.OptionConverter.substVars(Ljava/lang/String;Ljava/util/Properties;)Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCategory(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCategory(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCategory(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,org.apache.log4j.Category.setLevel(Lorg/apache/log4j/Level;)V
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCategory(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,org.apache.log4j.Category.setLevel(Lorg/apache/log4j/Level;)V
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCategory(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,org.apache.log4j.Category.getLevel()Lorg/apache/log4j/Level;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCategory(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,org.apache.log4j.Category.removeAllAppenders()V
NPE_INV,org.apache.log4j.PropertyConfigurator.parseCategory(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,org.apache.log4j.Category.addAppender(Lorg/apache/log4j/Appender;)V
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAdditivityForLogger(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;)V,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAdditivityForLogger(Ljava/util/Properties;Lorg/apache/log4j/Logger;Ljava/lang/String;)V,org.apache.log4j.Category.setAdditivity(Z)V
NPE_INV,org.apache.log4j.helpers.OptionConverter.instantiateByKey(Ljava/util/Properties;Ljava/lang/String;Ljava/lang/Class;Ljava/lang/Object;)Ljava/lang/Object;,java.lang.String.trim()Ljava/lang/String;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.lang.String.indexOf(II)I
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.beans.PropertyDescriptor.getPropertyType()Ljava/lang/Class;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.beans.PropertyDescriptor.getWriteMethod()Ljava/lang/reflect/Method;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.beans.PropertyDescriptor.getPropertyType()Ljava/lang/Class;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.beans.PropertyDescriptor.getWriteMethod()Ljava/lang/reflect/Method;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperties(Ljava/util/Properties;Ljava/lang/String;)V,java.lang.reflect.Method.invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppender(Ljava/util/Properties;Ljava/lang/String;)Lorg/apache/log4j/Appender;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppender(Ljava/util/Properties;Ljava/lang/String;)Lorg/apache/log4j/Appender;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppender(Ljava/util/Properties;Ljava/lang/String;)Lorg/apache/log4j/Appender;,java.util.Map$Entry.getValue()Ljava/lang/Object;
NPE_INV,org.apache.log4j.config.PropertySetter.getPropertyDescriptor(Ljava/lang/String;)Ljava/beans/PropertyDescriptor;,java.beans.FeatureDescriptor.getName()Ljava/lang/String;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppenderFilters(Ljava/util/Properties;Ljava/lang/String;Lorg/apache/log4j/Appender;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppenderFilters(Ljava/util/Properties;Ljava/lang/String;Lorg/apache/log4j/Appender;)V,java.lang.String.indexOf(II)I
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppenderFilters(Ljava/util/Properties;Ljava/lang/String;Lorg/apache/log4j/Appender;)V,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppenderFilters(Ljava/util/Properties;Ljava/lang/String;Lorg/apache/log4j/Appender;)V,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppenderFilters(Ljava/util/Properties;Ljava/lang/String;Lorg/apache/log4j/Appender;)V,java.util.Vector.add(Ljava/lang/Object;)Z
NPE_INV,org.apache.log4j.PropertyConfigurator.parseAppenderFilters(Ljava/util/Properties;Ljava/lang/String;Lorg/apache/log4j/Appender;)V,java.util.Vector.elements()Ljava/util/Enumeration;
NPE_INV,org.apache.log4j.config.PropertySetter.introspect()V,java.beans.BeanInfo.getPropertyDescriptors()[Ljava/beans/PropertyDescriptor;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperty(Ljava/beans/PropertyDescriptor;Ljava/lang/String;Ljava/lang/String;)V,java.beans.PropertyDescriptor.getWriteMethod()Ljava/lang/reflect/Method;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperty(Ljava/beans/PropertyDescriptor;Ljava/lang/String;Ljava/lang/String;)V,java.lang.reflect.Method.getParameterTypes()[Ljava/lang/Class;
NPE_INV,org.apache.log4j.config.PropertySetter.setProperty(Ljava/beans/PropertyDescriptor;Ljava/lang/String;Ljava/lang/String;)V,java.lang.reflect.Method.invoke(Ljava/lang/Object;[Ljava/lang/Object;)Ljava/lang/Object;
NPE_INV,org.apache.log4j.SortedKeyEnumeration.<init>(Ljava/util/Hashtable;)V,java.lang.String.compareTo(Ljava/lang/String;)I
NPE_INV,org.apache.log4j.config.PropertySetter.convertArg(Ljava/lang/String;Ljava/lang/Class;)Ljava/lang/Object;,java.lang.String.trim()Ljava/lang/String;
NPE_GET,org.apache.log4j.Priority.equals(Ljava/lang/Object;)Z,Lorg/apache/log4j/Priority.level I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$EntrySet.iterator()Ljava/util/Iterator;,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,org.apache.log4j.CategoryKey.<init>(Ljava/lang/String;)V,java.lang.String.hashCode()I
NPE_INV,org.apache.log4j.Hierarchy.updateParents(Lorg/apache/log4j/Logger;)V,java.lang.String.length()I
NPE_INV,org.apache.log4j.Hierarchy.updateParents(Lorg/apache/log4j/Logger;)V,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.Hierarchy.updateParents(Lorg/apache/log4j/Logger;)V,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,org.apache.log4j.Hierarchy.updateParents(Lorg/apache/log4j/Logger;)V,java.util.Vector.addElement(Ljava/lang/Object;)V
NPE_INV,org.apache.log4j.Hierarchy.updateParents(Lorg/apache/log4j/Logger;)V,java.lang.Object.getClass()Ljava/lang/Class;
NPE_INV,org.apache.log4j.Hierarchy.updateParents(Lorg/apache/log4j/Logger;)V,java.lang.String.lastIndexOf(II)I
NPE_INV,org.apache.log4j.Hierarchy.updateChildren(Lorg/apache/log4j/ProvisionNode;Lorg/apache/log4j/Logger;)V,java.util.Vector.size()I
NPE_INV,org.apache.log4j.Hierarchy.updateChildren(Lorg/apache/log4j/ProvisionNode;Lorg/apache/log4j/Logger;)V,java.util.Vector.elementAt(I)Ljava/lang/Object;
NPE_GET,org.apache.log4j.Hierarchy.updateChildren(Lorg/apache/log4j/ProvisionNode;Lorg/apache/log4j/Logger;)V,Lorg/apache/log4j/Category.name Ljava/lang/String
NPE_INV,org.apache.log4j.Hierarchy.updateChildren(Lorg/apache/log4j/ProvisionNode;Lorg/apache/log4j/Logger;)V,java.lang.String.startsWith(Ljava/lang/String;)Z
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.add(Ljava/lang/Object;I)I,java.util.concurrent.atomic.AtomicInteger.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.add(Ljava/lang/Object;I)I,java.util.concurrent.atomic.AtomicInteger.getAndAdd(I)I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset.count(Ljava/lang/Object;)I,java.util.concurrent.atomic.AtomicInteger.get()I
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.length()I
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.indexOf(Ljava/lang/String;I)I
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.substring(II)Ljava/lang/String;
NPE_INV,com.google.common.base.Preconditions.format(Ljava/lang/String;[Ljava/lang/Object;)Ljava/lang/String;,java.lang.String.substring(I)Ljava/lang/String;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$MapBasedElementSet.iterator()Ljava/util/Iterator;,java.util.Set.iterator()Ljava/util/Iterator;
NPE_INV,org.apache.log4j.CategoryKey.equals(Ljava/lang/Object;)Z,java.lang.Object.getClass()Ljava/lang/Class;
NPE_GET,org.apache.log4j.CategoryKey.equals(Ljava/lang/Object;)Z,Lorg/apache/log4j/CategoryKey.name Ljava/lang/String
NPE_INV,org.apache.log4j.CategoryKey.equals(Ljava/lang/Object;)Z,java.lang.String.equals(Ljava/lang/Object;)Z
NPE_INV,org.apache.log4j.config.PropertySetterException.getMessage()Ljava/lang/String;,java.lang.Throwable.getMessage()Ljava/lang/String;
NPE_GET,org.apache.log4j.Category.getEffectiveLevel()Lorg/apache/log4j/Level;,Lorg/apache/log4j/Category.level Lorg/apache/log4j/Level
NPE_GET,org.apache.log4j.Category.getEffectiveLevel()Lorg/apache/log4j/Level;,Lorg/apache/log4j/Category.level Lorg/apache/log4j/Level
NPE_GET,org.apache.log4j.Category.getEffectiveLevel()Lorg/apache/log4j/Level;,Lorg/apache/log4j/Category.parent Lorg/apache/log4j/Category
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.addAppender(Lorg/apache/log4j/Appender;)V,java.util.Vector.contains(Ljava/lang/Object;)Z
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.addAppender(Lorg/apache/log4j/Appender;)V,java.util.Vector.addElement(Ljava/lang/Object;)V
NPE_GET,org.apache.log4j.Category.callAppenders(Lorg/apache/log4j/spi/LoggingEvent;)V,Lorg/apache/log4j/Category.aai Lorg/apache/log4j/helpers/AppenderAttachableImpl
NPE_GET,org.apache.log4j.Category.callAppenders(Lorg/apache/log4j/spi/LoggingEvent;)V,Lorg/apache/log4j/Category.aai Lorg/apache/log4j/helpers/AppenderAttachableImpl
NPE_GET,org.apache.log4j.Category.callAppenders(Lorg/apache/log4j/spi/LoggingEvent;)V,Lorg/apache/log4j/Category.additive Z
NPE_GET,org.apache.log4j.Category.callAppenders(Lorg/apache/log4j/spi/LoggingEvent;)V,Lorg/apache/log4j/Category.parent Lorg/apache/log4j/Category
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.appendLoopOnAppenders(Lorg/apache/log4j/spi/LoggingEvent;)I,java.util.Vector.size()I
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.appendLoopOnAppenders(Lorg/apache/log4j/spi/LoggingEvent;)I,java.util.Vector.elementAt(I)Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$MapBasedElementSet$1.next()Ljava/lang/Object;,java.util.Map$Entry.getKey()Ljava/lang/Object;
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.getAllAppenders()Ljava/util/Enumeration;,java.util.Vector.elements()Ljava/util/Enumeration;
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.removeAllAppenders()V,java.util.Vector.size()I
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.removeAllAppenders()V,java.util.Vector.elementAt(I)Ljava/lang/Object;
NPE_INV,org.apache.log4j.helpers.AppenderAttachableImpl.removeAllAppenders()V,java.util.Vector.removeAllElements()V
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$EntrySet$1$1.getCount()I,java.util.Map$Entry.getValue()Ljava/lang/Object;
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$EntrySet$1$1.getCount()I,java.util.concurrent.atomic.AtomicInteger.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$EntrySet$1$1.getCount()I,java.util.concurrent.atomic.AtomicInteger.get()I
NPE_INV,com.google.common.collect.AbstractMapBasedMultiset$EntrySet$1$1.getElement()Ljava/lang/Object;,java.util.Map$Entry.getKey()Ljava/lang/Object;
Done
