program,method,offset,target,label
urlaa051fbd3d_WheezePuppet_collegeDiversity_tgz-pJ8-edu_umw_cpsc_collegediversity_SimJ8,edu/umw/cpsc/collegediversity/FreshmanHousingSelection.assignByRace:(Lsim/util/Bag;)V,307,edu/umw/cpsc/collegediversity/Student.hasRoom:()Z,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/InstructionType.<clinit>:()V,46,m68k/cpu/InstructionType.<init>:(Ljava/lang/String;I)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVEA.movea_word:(I)I,35,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getWordSigned:()I,
url3426a97ee4_rtreffer_minidns_tgz-pJ8-de_measite_minidns_minidnsrepl_MiniDnsReplJ8,de/measite/minidns/DNSMessage.toArray:()[B,1,de/measite/minidns/DNSMessage.serialize:()[B,
url3010dbde70_nbartlett_Sequence_Memoizer_tgz-pJ8-edu_columbia_stat_wood_pub_sequencememoizer_IntSequenceMemoizerJ8,edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer.getWithInsertion:()Ledu/columbia/stat/wood/pub/sequencememoizer/util/IntRestaurant;,569,edu/columbia/stat/wood/pub/sequencememoizer/IntSequenceMemoizer$NewKey.value:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVEM.movem_word_r2m:(I)I,34,m68k/cpu/CpuCore$PCWithDisplacementOperand.getComputedAddress:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/EXG.exg_aa:(I)I,56,m68k/cpu/CpuCore.setAddrRegisterLong:(II)V,
url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8,com/github/nkzawa/engineio/client/transports/WebSocket.access$000:(Lcom/github/nkzawa/engineio/client/transports/WebSocket;)V,1,com/github/nkzawa/engineio/client/Transport.onOpen:()V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,17511,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BCHG.bchg_static_long:(I)I,95,m68k/cpu/CpuCore$AbsoluteShortOperand.setLong:(I)V,
url270fc4f5ee_ykcilborw_Joust_tgz-pJ8-fri_patterns_interpreter_parsergenerator_examples_HowToOverrideLexerImplJ8,fri/patterns/interpreter/parsergenerator/syntax/builder/SyntaxBuilderParserTables.<init>:()V,357,fri/patterns/interpreter/parsergenerator/syntax/Syntax.addRule:(Lfri/patterns/interpreter/parsergenerator/syntax/Rule;)V,
url4e79c36700_JacenLakiir_Tivoo_tgz-pJ8-MainJ8,<boot>,0,tivoo/output/CalendarViewHTMLBuilder$1.<clinit>:()V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADD.add_long_ea_dest:(I)I,57,m68k/cpu/CpuCore$StatusRegisterOperand.setLong:(I)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/lp/solver/DoubleIntervalCohoMatrix.independentConstraint:()Lcoho/common/matrix/BooleanMatrix;,138,coho/lp/solver/BasicCohoMatrix.col:(I)Lcoho/common/matrix/BasicMatrix;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/EXT.ext_byte_to_word:(I)I,101,m68k/cpu/CpuCore.clrFlags:(I)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ANDI_TO_CCR$2.<clinit>:()V,0,m68k/cpu/Size.values:()[Lm68k/cpu/Size;,
