program,method,offset,target,label
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,16601,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url2f44efcfa6_wangyudong_sohutw_java_sdk_2_0_tgz-pJ8-com_sohu_t_api_sdk_json_TestJ8,com/sohu/t/api/sdk/json/XML.parse:(Lcom/sohu/t/api/sdk/json/XMLTokener;Lcom/sohu/t/api/sdk/json/JSONObject;Ljava/lang/String;)Z,442,com/sohu/t/api/sdk/json/JSONTokener.syntaxError:(Ljava/lang/String;)Lcom/sohu/t/api/sdk/json/JSONException;,
url47e6aca666_pocorall_automaton_tgz-pJ8-net_pocorall_automaton_DatatypesJ8,net/pocorall/automaton/LinkedAutomaton.run:(Ljava/lang/String;)Ljava/lang/Object;,28,net/pocorall/automaton/State.step:(C)Lnet/pocorall/automaton/State;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,15483,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,14807,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/ADD.add_byte_dn_dest:(I)I,24,m68k/cpu/CpuCore$ImmediateOperand.getByteSigned:()I,
urld025f21ac3_mvattipulusu_Innovation2013_tgz-pJ8-com_usps_data_ManifestFileTestJ8,com/usps/evs/vo/ManifestDetailRawLineV20Vo.parseLine:(Ljava/lang/String;)I,2172,com/usps/evs/vo/ManifestDetailRawLineVo.getSpecialServiceCode1:()Ljava/lang/String;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BSET.bset_dyn_long:(I)I,94,m68k/cpu/CpuCore$PCWithDisplacementOperand.setLong:(I)V,
url71665d7d68_branscha_lib_scripty_tgz-pJ8-com_sdicons_scripty_ScriptyAutoReplJ8,com/sdicons/scripty/spec/args/ArgListBuilderUtil.buildArgList:(Lcom/sdicons/scripty/annot/ScriptyVarArgList;)Lcom/sdicons/scripty/spec/args/ArgListBuilderUtil$ArgListTuple;,379,com/sdicons/scripty/spec/map/IndexedMapping.<init>:(I)V,
url9e019a0ee9_elfrasco_design_principles_tgz-pJ8-ar_com_epidataconsulting_principles_ioc_before_SavePredictiveEngineProjectServiceJ8,ar/com/epidataconsulting/principles/database/Connection.findByKey:(Ljava/lang/String;Ljava/lang/String;Ljava/lang/Object;)Ljava/util/Map;,24,ar/com/epidataconsulting/principles/database/UnknownCollectionException.<init>:(Ljava/lang/String;)V,
url8e6440c8aa_robdimsdale_project_euler_tgz-pJ8-com_rmd_personal_projecteuler_MainJ8,com/rmd/personal/projecteuler/P042.populateWords:()V,7280,com/rmd/personal/projecteuler/P042.getWords:()Ljava/util/List;,
url0067cdd33d_goldolphin_Mi_tgz-pJ8-mi_regex_CommonJ8,mi/regex/DotRegex.print:(I)V,10,mi/regex/SetRegex.print:(I)V,
urlc4364d0d12_ahmedelmorsy_cafetria_simulation_tgz-pJ8-main_MainJ8,main/Main.main:([Ljava/lang/String;)V,1355,simulation/global/Statistics.getMaxDelayInQueue:(Ljava/lang/String;)I,
url400631cdd0_ludaiqian_appliedxml_tgz-pJ8-test_simples_TestJ8,com/google/gsoncode/internal/$Gson$Types$ParameterizedTypeImpl.hashCode:()I,11,com/google/gsoncode/internal/$Gson$Types$WildcardTypeImpl.hashCode:()I,
url1a41b8e9f2_mr1azl_INF345_tgz-pJ8-TestParserJ8,xx/XPathParserTokenManager.jjMoveStringLiteralDfa7_0:(JJJJ)I,327,xx/XPathParserTokenManager.jjMoveStringLiteralDfa8_0:(JJJJ)I,
urld58fd5e7a9_longrm_weibo_robot_tgz-pJ8-weibo4j_org_json_TestJ8,weibo4j/org/json/Test.main:([Ljava/lang/String;)V,3720,weibo4j/org/json/JSONArray.put:(D)Lweibo4j/org/json/JSONArray;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVE_FROM_SR.move_from_sr:(I)I,17,m68k/cpu/CpuCore.resolveDstEA:(IILm68k/cpu/Size;)Lm68k/cpu/Operand;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/number/IntegerInterval.sqrt:()Lcoho/common/number/IntegerInterval;,43,coho/common/number/IntegerInterval.create:(Ljava/lang/Number;Ljava/lang/Number;)Lcoho/common/number/IntegerInterval;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/OR.or_word_ea_dest:(I)I,65,m68k/cpu/CpuCore$AbsoluteShortOperand.getTiming:()I,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/Segment.baseCompareByAngle:(Lcoho/geom/twodim/Segment;)I,330,coho/common/number/CohoDouble.zero:()Lcoho/common/number/CohoNumber;,
url43a0865bb0_kevinjdolan_darwin_tgz-pJ8-tui_DriverJ8,darwin/fitness/Fitness.assessFitness:()V,595,darwin/work/threadPool/ThreadPool.dispatch:()Ljava/util/List;,
url7895f5cfa7_edm92_defaultlogic_tgz-pJ8-be_fnord_DefaultLogic_AppJ8,be/fnord/DefaultLogic/DefaultLogicExample.example13:()V,200,be/fnord/util/logic/defaultLogic/RuleSet.toString:()Ljava/lang/String;,
url3472127e1f_SergeyKrivohatskiy_tiny_database_tgz-pJ8-ru_spbau_tinydb_bufferManager_IndexTestJ8,ru/spbau/tinydb/queries/Attribute$VarcharType.<init>:(I)V,15,ru/spbau/tinydb/common/DBException.<init>:(Ljava/lang/String;)V,
url6a9f553762_Bresiu_socket_io_tgz-pJ8-MainJ8,com/github/nkzawa/engineio/client/transports/WebSocket.write:([Lcom/github/nkzawa/engineio/parser/Packet;)V,40,com/github/nkzawa/engineio/parser/Parser.encodePacket:(Lcom/github/nkzawa/engineio/parser/Packet;Lcom/github/nkzawa/engineio/parser/Parser$EncodeCallback;)V,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/EORI.eori_long:(I)I,92,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getTiming:()I,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/matrix/BasicMatrix.col:(Lcoho/common/matrix/IntegerMatrix;)Lcoho/common/matrix/BasicMatrix;,58,coho/common/matrix/DoubleIntervalMatrix.assign:(Lcoho/common/matrix/Matrix;II)Lcoho/common/matrix/BasicMatrix;,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/common/number/APRInterval.convert:(Ljava/lang/Number;)Lcoho/common/number/CohoNumber;,2,coho/common/number/APRInterval.convert:(Ljava/lang/Number;)Lcoho/common/number/APRInterval;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVE_FROM_SR.move_from_sr:(I)I,46,m68k/cpu/CpuCore$AddressRegisterOperand.isRegisterMode:()Z,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/CLR.clr_byte:(I)I,82,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getTiming:()I,
url863d2ab553_themadcreator_delaunay_tgz-pJ8-org_delaunay_PoissonDiscSamplesDemoJ8,org/delaunay/algorithm/samples/SampleBuilder.fill:(Lorg/delaunay/algorithm/samples/SampleFunctions$SampleFunction;)Lorg/delaunay/algorithm/samples/SampleBuilder;,153,org/delaunay/algorithm/samples/LocateStrategies$NaiveLocateStrategy.addSample:(Lorg/delaunay/model/Vector;)Z,
url7f43a4752f_shalynnho_pokemonfactory_tgz-pJ8-Networking_ServerJ8,agent/data/Bin$BinStatus.<clinit>:()V,7,agent/data/Bin$BinStatus.<init>:(Ljava/lang/String;I)V,
urlcaef331f4e_dreamable_cra_tgz-pJ8-coho_lp_project_LPProjectJ8,coho/geom/twodim/ops/OutwardReduce.reducePoint:(Lcoho/geom/twodim/ops/OutwardReduce$ReducePoint;)Z,67,coho/geom/twodim/ops/OutwardReduce$ReduceVertex.access$000:(Lcoho/geom/twodim/ops/OutwardReduce$ReduceVertex;)Lcoho/geom/twodim/ops/OutwardReduce$ReduceVertex;,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/BTST.btst_static_byte:(I)I,81,m68k/cpu/CpuCore$AddressRegisterPostIncOperand.getTiming:()I,
url542ae48576_tonyheadford_m68k_tgz-pJ8-m68k_MonitorJ8,m68k/cpu/instructions/MOVEA.movea_word:(I)I,35,m68k/cpu/CpuCore$PCWithIndexOperand.getWordSigned:()I,
